                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4988,                 4.5354,                 1.5552,                0.00046,                 0.0581,                0.00202,                0.00083,                 2.0314,                 4.3781,                 1.2794,                  7e-05,                  7e-05,                  7e-05
                      2,                  2.148,                 4.2665,                 1.3434,                0.00078,                0.06064,                 0.0037,                0.00214,                  1.866,                 4.2435,                 1.1448,             0.00014703,             0.00014703,             0.00014703
                      3,                  2.163,                 3.6494,                 1.2466,                0.00163,                0.06701,                0.00292,                0.00148,                 1.9365,                 4.1401,                 1.1408,             0.00022089,             0.00022089,             0.00022089
                      4,                 2.0759,                   3.06,                 1.1873,                0.01441,                0.13281,                0.07551,                0.03068,                 1.8954,                 3.8636,                 1.1179,             0.00029159,             0.00029159,             0.00029159
                      5,                  2.113,                  2.628,                 1.1565,                0.93125,                0.09415,                0.13154,                0.05279,                 1.9835,                 3.3659,                 1.1351,             0.00035911,             0.00035911,             0.00035911
                      6,                 2.0184,                 2.2283,                 1.1837,                0.95132,                0.10177,                0.18197,                0.07959,                 1.9288,                 2.7054,                 1.1095,             0.00042347,             0.00042347,             0.00042347
                      7,                   1.92,                 1.9975,                 1.1529,                 0.7462,                 0.1508,                0.19628,                0.09715,                 1.8929,                 2.3812,                 1.1437,             0.00048466,             0.00048466,             0.00048466
                      8,                  1.939,                 1.9117,                 1.1886,                0.73828,                0.15647,                0.19596,                 0.0952,                  1.867,                 2.2358,                 1.1644,             0.00054268,             0.00054268,             0.00054268
                      9,                 1.8667,                 1.6627,                 1.1912,                 0.8772,                0.18021,                0.19733,                0.08954,                 1.9286,                 2.0145,                 1.2367,             0.00059754,             0.00059754,             0.00059754
                     10,                 1.9009,                 1.7659,                 1.2142,                0.89171,                0.17976,                0.21066,                0.09546,                 1.8475,                 1.8436,                 1.2059,             0.00064922,             0.00064922,             0.00064922
                     11,                 1.8802,                 1.7052,                 1.1906,                0.68781,                0.22371,                0.21193,                0.09243,                 1.9594,                 1.7097,                 1.2631,             0.00069774,             0.00069774,             0.00069774
                     12,                   1.79,                 1.7016,                 1.1651,                0.71063,                0.24311,                0.23456,                0.11442,                  1.785,                 1.5195,                 1.1965,             0.00074309,             0.00074309,             0.00074309
                     13,                 1.8285,                 1.6363,                 1.1565,                0.70616,                0.27754,                0.25029,                0.12761,                  1.682,                 1.5193,                 1.1312,              0.0007624,              0.0007624,              0.0007624
                     14,                 1.9032,                 1.5841,                 1.1466,                0.72705,                0.27954,                0.25851,                0.13371,                 1.7002,                 1.5076,                 1.1426,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.8451,                 1.5639,                 1.1627,                0.71795,                0.27973,                0.26114,                 0.1271,                 1.8589,                 1.4993,                 1.2026,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.7681,                 1.5507,                 1.1612,                0.74988,                0.27199,                0.28783,                0.13534,                 1.8389,                 1.4602,                 1.2033,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.7457,                 1.5586,                 1.1508,                0.75575,                 0.2547,                0.30544,                0.13729,                 1.7464,                 1.4217,                 1.1697,               0.000703,               0.000703,               0.000703
                     18,                 1.7482,                 1.5058,                  1.149,                0.75443,                0.24882,                0.26255,                0.13148,                 1.7002,                 1.4048,                 1.1524,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.7708,                 1.5173,                 1.1334,                0.72373,                 0.3157,                0.27318,                0.13523,                 1.6961,                 1.3989,                 1.1571,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.7151,                   1.49,                 1.1402,                0.71564,                0.31722,                0.27689,                0.13296,                 1.7295,                  1.456,                 1.1747,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.7526,                  1.486,                 1.1421,                0.74309,                0.31075,                0.27765,                0.13413,                 1.7795,                 1.4648,                 1.1904,              0.0006238,              0.0006238,              0.0006238
