                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9491,                 4.5669,                 1.9351,                0.00018,                0.00127,                  9e-05,                  1e-05,                 2.0999,                 4.4674,                  1.367,                  7e-05,                  7e-05,                  7e-05
                      2,                 2.5933,                  4.378,                 1.6722,                0.00048,                0.00382,                0.00032,                  9e-05,                 1.9136,                 4.3258,                 1.2185,             0.00014901,             0.00014901,             0.00014901
                      3,                 2.3065,                 3.8596,                 1.3952,                0.00229,                0.02633,                0.00862,                0.00227,                 2.0984,                 4.2196,                 1.2137,             0.00022696,             0.00022696,             0.00022696
                      4,                 2.2194,                 3.2527,                  1.286,                0.01331,                0.14359,                0.05595,                0.01654,                 2.3482,                  3.906,                 1.2591,             0.00030386,             0.00030386,             0.00030386
                      5,                 2.2958,                 2.7865,                 1.2792,                0.89802,                0.05216,                0.05376,                0.01519,                 2.4983,                 3.3823,                 1.3365,              0.0003797,              0.0003797,              0.0003797
                      6,                 2.1545,                 2.3992,                  1.273,                0.91147,                0.09542,                 0.1162,                0.03385,                 2.6993,                 2.6804,                 1.3337,             0.00045449,             0.00045449,             0.00045449
                      7,                 2.1757,                 2.1957,                 1.2807,                0.69642,                0.21319,                0.16475,                0.06352,                 2.3805,                 2.1891,                 1.3253,             0.00052822,             0.00052822,             0.00052822
                      8,                 2.1021,                 2.1064,                 1.2829,                0.66662,                0.19735,                0.17952,                 0.0725,                 2.2976,                 1.9475,                 1.3473,             0.00060089,             0.00060089,             0.00060089
                      9,                 2.0871,                 1.8282,                 1.3071,                0.85062,                 0.1443,                0.15092,                0.04374,                 2.5276,                 2.0095,                 1.5192,             0.00067251,             0.00067251,             0.00067251
                     10,                 2.1735,                 1.9375,                 1.3769,                0.86547,                0.13808,                0.15955,                0.04591,                 2.4997,                 2.1283,                 1.5552,             0.00074307,             0.00074307,             0.00074307
                     11,                 2.0505,                 1.8579,                 1.3059,                0.85259,                0.18589,                0.25889,                0.07729,                   2.25,                 2.2394,                  1.415,             0.00081258,             0.00081258,             0.00081258
                     12,                 1.9863,                 1.8489,                 1.2854,                0.86243,                0.20353,                0.21691,                0.08391,                 2.1622,                  2.201,                 1.3708,             0.00088103,             0.00088103,             0.00088103
                     13,                  2.019,                 1.7733,                 1.2697,                 0.7014,                0.28982,                0.21733,                 0.0831,                 2.2143,                  2.062,                 1.4038,              0.0009208,              0.0009208,              0.0009208
                     14,                 2.0541,                 1.7466,                 1.2727,                0.71926,                0.26075,                0.21799,                0.08644,                 2.1646,                 1.9705,                 1.3784,              0.0009208,              0.0009208,              0.0009208
                     15,                 1.9537,                 1.7164,                 1.2814,                0.53272,                0.37122,                  0.239,                0.06661,                 2.4259,                 1.9989,                 1.5211,              0.0009142,              0.0009142,              0.0009142
                     16,                 1.9105,                 1.6635,                 1.2759,                0.56103,                0.37177,                0.22058,                0.07322,                 2.2811,                 2.0284,                 1.4311,              0.0009076,              0.0009076,              0.0009076
                     17,                 1.9283,                  1.696,                 1.2717,                0.55749,                0.38072,                0.22612,                0.07313,                 2.2961,                 1.9242,                 1.4086,               0.000901,               0.000901,               0.000901
                     18,                 1.9907,                 1.6595,                 1.2906,                0.58324,                 0.3836,                0.23677,                0.07845,                 2.2358,                 1.7455,                  1.368,              0.0008944,              0.0008944,              0.0008944
                     19,                 1.9561,                 1.6766,                 1.2454,                0.52951,                 0.4149,                0.24955,                0.08305,                 2.2048,                 1.6377,                 1.3477,              0.0008878,              0.0008878,              0.0008878
                     20,                 1.9303,                 1.6688,                 1.2398,                0.73787,                0.28619,                0.28025,                0.10786,                 2.0293,                 1.5706,                 1.2744,              0.0008812,              0.0008812,              0.0008812
                     21,                 1.9701,                 1.6868,                 1.2547,                0.76672,                0.27081,                0.29581,                0.10509,                 2.1666,                  1.596,                 1.3289,              0.0008746,              0.0008746,              0.0008746
                     22,                  1.837,                 1.6543,                 1.2218,                0.77825,                0.24172,                0.26491,                0.08984,                 2.2414,                 1.5851,                 1.3644,               0.000868,               0.000868,               0.000868
                     23,                 1.8663,                 1.5854,                 1.2868,                0.72827,                0.24338,                0.20552,                 0.0512,                 2.5939,                 1.7303,                 1.5528,              0.0008614,              0.0008614,              0.0008614
                     24,                 1.9035,                 1.5776,                 1.2553,                0.56294,                0.31675,                 0.2108,                0.05366,                 2.5725,                 1.6788,                  1.535,              0.0008548,              0.0008548,              0.0008548
                     25,                 1.8997,                 1.5345,                 1.2603,                0.59903,                0.37062,                 0.2536,                0.07947,                 2.2696,                 1.5273,                  1.364,              0.0008482,              0.0008482,              0.0008482
                     26,                 1.9036,                 1.5458,                 1.2205,                0.57943,                0.39844,                0.28446,                0.11334,                 1.9644,                 1.4436,                  1.239,              0.0008416,              0.0008416,              0.0008416
                     27,                   1.94,                 1.6357,                  1.256,                0.60469,                0.37924,                 0.3179,                0.12621,                 1.9166,                 1.4512,                 1.2204,               0.000835,               0.000835,               0.000835
                     28,                 1.9145,                  1.599,                 1.2245,                 0.6834,                0.32953,                0.28539,                0.10652,                  2.011,                 1.5282,                 1.2659,              0.0008284,              0.0008284,              0.0008284
                     29,                 1.8497,                 1.5298,                 1.2379,                0.55372,                0.36592,                0.28543,                0.10726,                 2.0749,                 1.4972,                 1.2822,              0.0008218,              0.0008218,              0.0008218
                     30,                 1.8263,                 1.4961,                  1.225,                0.58487,                0.39306,                0.30083,                 0.1098,                 2.1054,                 1.4383,                 1.2761,              0.0008152,              0.0008152,              0.0008152
                     31,                 1.8173,                  1.477,                 1.2026,                0.59537,                0.38786,                 0.3201,                0.12232,                 2.0763,                 1.4194,                 1.2518,              0.0008086,              0.0008086,              0.0008086
                     32,                 1.8667,                 1.5159,                 1.2208,                0.59156,                0.37171,                0.31362,                0.12917,                 2.0823,                 1.4313,                 1.2546,               0.000802,               0.000802,               0.000802
                     33,                 1.8161,                 1.4296,                 1.2248,                0.65462,                0.35414,                0.31934,                0.13149,                 2.0536,                 1.4267,                 1.2342,              0.0007954,              0.0007954,              0.0007954
                     34,                 1.8799,                 1.5057,                 1.2453,                0.68326,                0.33932,                 0.3268,                0.13377,                 2.0558,                 1.4189,                 1.2313,              0.0007888,              0.0007888,              0.0007888
                     35,                 1.7961,                 1.4531,                 1.2195,                0.63779,                0.36712,                0.31514,                0.13012,                 2.0062,                  1.414,                 1.2118,              0.0007822,              0.0007822,              0.0007822
                     36,                 1.8763,                 1.4521,                 1.2137,                0.63893,                0.35838,                0.31104,                0.13342,                 1.9258,                   1.41,                 1.1871,              0.0007756,              0.0007756,              0.0007756
                     37,                 1.8431,                 1.4509,                 1.2206,                0.59106,                 0.3386,                0.30188,                 0.1358,                 1.8742,                 1.4343,                 1.1656,               0.000769,               0.000769,               0.000769
                     38,                 1.8663,                 1.4943,                 1.2039,                0.61398,                0.40321,                0.31954,                0.14694,                 1.8456,                 1.4343,                 1.1604,              0.0007624,              0.0007624,              0.0007624
                     39,                 1.8103,                 1.4086,                 1.2237,                0.62445,                0.40559,                0.31258,                0.13709,                 1.9143,                 1.4206,                 1.1952,              0.0007558,              0.0007558,              0.0007558
                     40,                 1.8098,                 1.4085,                 1.2041,                0.64091,                0.41638,                0.31075,                0.12565,                 2.0064,                 1.4205,                 1.2318,              0.0007492,              0.0007492,              0.0007492
                     41,                 1.8093,                 1.4125,                 1.2199,                0.63801,                  0.377,                0.32607,                0.13772,                 1.9865,                 1.4247,                 1.2228,              0.0007426,              0.0007426,              0.0007426
                     42,                 1.7421,                 1.3495,                 1.1805,                0.67434,                 0.3406,                0.35069,                0.15819,                 1.8938,                 1.3902,                 1.1881,               0.000736,               0.000736,               0.000736
                     43,                  1.797,                  1.386,                 1.1649,                 0.7222,                0.37918,                0.40873,                0.17229,                 1.8466,                 1.3606,                 1.1729,              0.0007294,              0.0007294,              0.0007294
                     44,                  1.865,                 1.5427,                 1.2441,                0.71924,                0.38355,                0.41772,                0.17275,                 1.8864,                 1.3437,                 1.1831,              0.0007228,              0.0007228,              0.0007228
                     45,                 1.8134,                 1.3874,                 1.1711,                0.67937,                0.42388,                0.37078,                0.15842,                 1.9468,                 1.3183,                 1.2057,              0.0007162,              0.0007162,              0.0007162
                     46,                 1.7775,                 1.4027,                 1.1824,                0.69553,                0.41499,                0.37846,                0.15758,                  1.982,                 1.3208,                 1.2173,              0.0007096,              0.0007096,              0.0007096
                     47,                 1.7763,                 1.3909,                 1.1747,                 0.6974,                0.41412,                0.41427,                0.16558,                 1.9358,                 1.3556,                 1.1996,               0.000703,               0.000703,               0.000703
                     48,                  1.768,                  1.385,                 1.1915,                 0.6938,                0.42024,                 0.4235,                0.17744,                 1.8898,                 1.3917,                 1.1827,              0.0006964,              0.0006964,              0.0006964
                     49,                 1.7357,                 1.3442,                 1.2199,                0.68603,                0.42565,                0.39322,                0.17348,                 1.8833,                  1.415,                  1.178,              0.0006898,              0.0006898,              0.0006898
                     50,                 1.7136,                 1.4003,                 1.1862,                0.47682,                0.44732,                0.38977,                0.16857,                 1.8749,                 1.4196,                 1.1696,              0.0006832,              0.0006832,              0.0006832
                     51,                 1.7739,                 1.3329,                 1.1897,                0.54594,                0.48761,                0.40958,                0.16696,                  1.871,                 1.3706,                 1.1733,              0.0006766,              0.0006766,              0.0006766
                     52,                 1.7711,                 1.3256,                 1.1808,                0.55355,                0.49856,                0.42644,                0.17789,                  1.912,                 1.3401,                 1.1894,                0.00067,                0.00067,                0.00067
