epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6319,2.6395,3.82728,1.73212,0.00867,0.29771,0.00692,0.00331,2.02266,3.57615,1.38368,6e-05,6e-05,6e-05
2,32.0323,2.28803,3.48641,1.44392,0.02178,0.74809,0.03262,0.01354,1.93216,3.32027,1.17154,0.000137228,0.000137228,0.000137228
3,47.3756,2.11488,2.70012,1.26998,0.02356,0.80916,0.20863,0.08772,2.02687,3.19533,1.17827,0.000211288,0.000211288,0.000211288
4,61.8245,2.12821,1.87298,1.24558,0.02356,0.80916,0.32222,0.11898,1.94376,2.99251,1.16624,0.00028218,0.00028218,0.00028218
5,75.8524,1.9337,1.53376,1.19925,0.02422,0.83206,0.3996,0.16205,1.78451,2.93977,1.11614,0.000349904,0.000349904,0.000349904
6,89.7312,1.79396,1.43089,1.17217,0.02378,0.81679,0.42058,0.1986,1.64117,2.85606,1.07767,0.00041446,0.00041446,0.00041446
7,103.772,1.69432,1.33379,1.19541,0.02422,0.83206,0.39137,0.19951,1.6652,2.82852,1.09128,0.000475848,0.000475848,0.000475848
8,117.76,1.7271,1.30036,1.17072,0.02311,0.79389,0.39356,0.20955,1.63045,2.82176,1.08927,0.000534068,0.000534068,0.000534068
9,131.627,1.69473,1.22851,1.17485,0.02311,0.79389,0.35364,0.18286,1.58077,2.87618,1.07683,0.00058912,0.00058912,0.00058912
10,145.186,1.74517,1.22492,1.1714,0.022,0.75573,0.41887,0.22671,1.57106,2.83111,1.08302,0.000641004,0.000641004,0.000641004
11,159.046,1.79742,1.23772,1.17385,0.02444,0.83969,0.4519,0.20862,1.68605,2.7728,1.10553,0.00068972,0.00068972,0.00068972
12,173.114,1.73568,1.13482,1.16109,0.02444,0.83969,0.51657,0.27342,1.60588,2.65963,1.093,0.000735268,0.000735268,0.000735268
13,187.233,1.57385,1.11568,1.16015,0.024,0.82443,0.45802,0.24562,1.54769,2.70215,1.07475,0.000777648,0.000777648,0.000777648
14,201.255,1.60794,1.07578,1.13093,0.88461,0.39695,0.50872,0.28733,1.54431,2.64302,1.06456,0.00081686,0.00081686,0.00081686
15,215.698,1.55819,1.07044,1.11836,0.91708,0.16889,0.58005,0.33839,1.51271,2.51893,1.06915,0.000852904,0.000852904,0.000852904
16,229.764,1.61975,1.03369,1.11506,0.25118,0.62595,0.58833,0.33035,1.51513,2.491,1.06233,0.00088578,0.00088578,0.00088578
17,243.71,1.58153,1.03073,1.12556,0.93437,0.32609,0.55373,0.31231,1.53638,2.48444,1.0809,0.000915488,0.000915488,0.000915488
18,257.577,1.62018,1.07984,1.11651,0.95652,0.16793,0.52523,0.26981,1.63639,2.43725,1.16454,0.000942028,0.000942028,0.000942028
19,271.846,1.69058,1.05451,1.13518,0.96502,0.21068,0.66818,0.36308,1.56352,2.2509,1.10585,0.0009654,0.0009654,0.0009654
20,286.371,1.59355,1.01807,1.11511,0.97893,0.35472,0.75681,0.38433,1.60014,2.08682,1.10461,0.000985604,0.000985604,0.000985604
21,300.058,1.61396,1.01809,1.12779,0.89066,0.51908,0.67314,0.35533,1.63946,1.94736,1.14316,0.00100264,0.00100264,0.00100264
22,313.265,1.57546,1.02085,1.12095,0.87455,0.58538,0.68916,0.37947,1.63254,1.866,1.12529,0.00101651,0.00101651,0.00101651
23,326.558,1.60716,0.97336,1.09987,0.89801,0.60494,0.75886,0.41901,1.52925,1.78805,1.06945,0.00102721,0.00102721,0.00102721
24,339.698,1.53045,0.99373,1.07366,0.89103,0.66412,0.80754,0.42514,1.54062,1.66173,1.07189,0.00103474,0.00103474,0.00103474
25,353.096,1.5255,0.95908,1.04661,0.89299,0.70072,0.80605,0.43554,1.5443,1.51141,1.08723,0.0010391,0.0010391,0.0010391
26,366.067,1.43733,0.94317,1.08045,0.88644,0.70992,0.77735,0.40165,1.64413,1.45879,1.12993,0.00101,0.00101,0.00101
27,379.297,1.54466,0.9341,1.06294,0.89321,0.70229,0.78349,0.42004,1.63601,1.47088,1.11466,0.0009704,0.0009704,0.0009704
28,392.53,1.54272,0.9331,1.08554,0.91244,0.69466,0.83867,0.46693,1.54521,1.47355,1.07051,0.0009308,0.0009308,0.0009308
29,405.705,1.5242,0.93857,1.04846,0.88394,0.73282,0.85429,0.46019,1.54953,1.39548,1.082,0.0008912,0.0008912,0.0008912
30,418.885,1.55387,0.95382,1.07663,0.86298,0.78626,0.85251,0.46488,1.52336,1.29307,1.08787,0.0008516,0.0008516,0.0008516
31,431.952,1.44953,0.89188,1.06804,0.82605,0.76127,0.83952,0.4694,1.48177,1.18569,1.08328,0.000812,0.000812,0.000812
32,445.232,1.45816,0.88742,1.06917,0.85187,0.74631,0.82069,0.45723,1.5224,1.19617,1.09371,0.0007724,0.0007724,0.0007724
33,458.372,1.48134,0.88524,1.06266,0.87069,0.77097,0.83906,0.46548,1.4949,1.18685,1.09344,0.0007328,0.0007328,0.0007328
34,471.713,1.432,0.86459,1.04498,0.84155,0.76336,0.82531,0.48124,1.43566,1.16744,1.07473,0.0006932,0.0006932,0.0006932
35,484.834,1.42532,0.8765,1.06761,0.81703,0.80916,0.84197,0.4818,1.44124,1.12488,1.07317,0.0006536,0.0006536,0.0006536
36,498.251,1.40857,0.83471,1.0421,0.8245,0.789,0.83692,0.48181,1.44879,1.03578,1.07294,0.000614,0.000614,0.000614
37,511.625,1.35346,0.832,1.03618,0.85802,0.78425,0.84567,0.48274,1.4726,0.98558,1.07576,0.0005744,0.0005744,0.0005744
38,524.818,1.44037,0.8701,1.0561,0.87729,0.76403,0.84783,0.47882,1.48506,0.98717,1.07096,0.0005348,0.0005348,0.0005348
39,538.011,1.36202,0.82932,1.03256,0.89296,0.76336,0.84309,0.48634,1.45459,0.96448,1.05675,0.0004952,0.0004952,0.0004952
40,550.997,1.35309,0.83519,1.03516,0.86364,0.77359,0.85692,0.48735,1.45385,0.93624,1.05871,0.0004556,0.0004556,0.0004556
41,564.174,1.37166,0.93994,1.0425,0.86245,0.80153,0.8686,0.48624,1.4639,0.94207,1.05529,0.000416,0.000416,0.000416
42,576.952,1.40577,0.91299,1.03367,0.8545,0.80698,0.85691,0.48065,1.45562,0.94878,1.05032,0.0003764,0.0003764,0.0003764
43,591.257,1.39224,0.90316,1.04218,0.87541,0.79389,0.85905,0.4792,1.43948,0.95552,1.05046,0.0003368,0.0003368,0.0003368
44,605.472,1.30866,0.86695,1.01873,0.87588,0.808,0.86621,0.48509,1.44229,0.93527,1.05946,0.0002972,0.0002972,0.0002972
45,619.508,1.31603,0.86702,1.02324,0.86832,0.80543,0.84907,0.48871,1.43742,0.90241,1.06478,0.0002576,0.0002576,0.0002576
46,633.658,1.3156,0.83982,1.02031,0.88908,0.81679,0.85446,0.50466,1.41395,0.86331,1.06209,0.000218,0.000218,0.000218
47,647.653,1.36657,0.85681,1.01994,0.84585,0.83206,0.86602,0.50693,1.39574,0.84218,1.0542,0.0001784,0.0001784,0.0001784
48,662.004,1.28061,0.83064,1.0311,0.85317,0.83969,0.87455,0.51865,1.38625,0.8328,1.05023,0.0001388,0.0001388,0.0001388
49,676.09,1.31392,0.83412,1.02391,0.86587,0.83774,0.88475,0.5204,1.38931,0.83075,1.04892,9.92e-05,9.92e-05,9.92e-05
50,690.403,1.30066,0.8164,1.0501,0.88662,0.83572,0.88584,0.52116,1.3915,0.82769,1.04963,5.96e-05,5.96e-05,5.96e-05
